molecule,smiles,target_affinity,antitarget_affinity,weighted_score
33C97288CD9FE130_C6158ACB1C2A9DD0_6041_UN,OC(=O)C1=COC2=C1C=C(C=C2)NCC(CC(C)C)CC(=O)OCCOC(C)C,4.398878574371338,5.540482759475708,0.24351650476455688
8D7999F38A238744_DEFF36BF3E5B896B_6041_UN,CC2[N]1C(=C(N=C1CCC2)C(=O)O)NCC3=CC=C(C=C3)OCC4=C(C=CC=C4)F,5.210123062133789,6.623373866081238,0.24259266257286072
FBAB94F4E420B89A_83BC0E829EB969DF_6038_UN,N(C2CCC1=C([NH]N=C1)C2)C(C3=C(C=NC(=N3)C(C)C)[N]4N=C(C)C=C4C)=O,5.880952835083008,7.517990708351135,0.24245980381965637
27135A7D88A18FAF_357D82F6F9006E06_6038_UN,N(C1=CC(=C(C=C1)SC2CCCC2)F)C(CCC(N(CCOC)C3=C(N)N(CC(C)C)C(=O)NC3=O)=O)=O,4.991922378540039,6.332799553871155,0.24232271313667297
E9E8957BFF720C64_6F70BA2E49213AEC_6031_UN,O(C(=O)CCC1=NN=C(O1)C2CCCC2)CC(CN)CC3CCOCC3,4.575770378112793,5.778064846992493,0.24222174286842346
6D4F8FE6C4AEC849_D75A080FCA58677D_1031_UN,CCNC(=S)[N]1N=CC(=C1[N]2C3=C(C(=C2C)C(OCC)=O)CCC3)C(=O)OCC,4.941234588623047,6.265883207321167,0.24182218313217163
94DC4B8F1D1CAC86_871BEB6465586D71_6031_UN,CC(C)N(C(C)C)C1=NC(=C(C(=N1)Cl)C(=O)OC[C@H]2C[C@@H](C)NCC2)Cl,5.595858097076416,7.139043688774109,0.24157533049583435
F7ECD89514B3564D_893020A8B9DF86B3_6038_UN,CC3=NC(=C(CCOC(=O)C1=CC=C(O1)[S](=O)(=O)N2CCOCC2)S3)C,5.122317314147949,6.508061170578003,0.24127143621444702
225A0EBC8500D50D_5893FED2C98F6BFD_6038_UN,CC(C)C5CCCC(NC(C4=CC=C(C3=NC2=C(C1=C(CC(CC)CC1)S2)C(N3)=O)C=C4)=O)C5,5.730778694152832,7.319573760032654,0.24109837412834167
E65EF2978B8E90B5_058E67873DB138D5_6038_UN,N(C1=C(C=CC=C1)[N]2N=CC=N2)C(=O)C3=CN=N[N]3C4=CC(=CC=C4)F,4.945728778839111,6.2733213901519775,0.24073773622512817
D32A13DA7FF8300E_29CDCD4E7A39C378_6031_UN,O(C(=O)CCC(=O)C1=C(SC(=C1)Cl)Cl)CC2(CN)CCC3=C2C=CC=C3,4.996870517730713,6.342689156532288,0.2398536503314972
31A220FBC7791A8D_1606D68F219B9A6A_6029_UN,COC1(CN(C1)[S](C2=C(B(O)O)C(=CC(=C2)F)F)(=O)=O)C(F)(F)C(=O)O,5.455435752868652,6.954861760139465,0.23928943276405334
AED45A18D78B3DCE_0E8354E29FD70CE0_6038_UN,COC(=O)C4=C(OC(CC2=CSC3=NC1=C(CC(C(C)C)CC1)[N]23)=O)C=C[N]4CC5=CC=CC=C5,5.488314628601074,6.999695062637329,0.2385433316230774
D1C557131EBC1ADE_CA3D4BF73B3D246C_6041_UN,C1(=NC(=NC(=C1)C2=CC=CC=C2)C3=CC=CS3)NC(C)CC4=CC=NO4,5.008971214294434,6.3606181144714355,0.23850762844085693
9400FADBE339842D_B33103EDDC601A5A_6041_UN,CC2[N]1C(=C(N=C1CCC2)C(=O)O)NC3CCCCC3CN(CC)CC,5.4647345542907715,6.968388557434082,0.23844313621520996
27F65C20A7AF552C_12C3849BAC8BDE94_6039_UN,COCC5(COCC3CCC1(CCC2(CC1)OCCO2)O3)CC4OC4C5,4.724924087524414,5.9821693897247314,0.23829704523086548
5267E69580CA0E0E_884EF67C01B05FBA_7019_UN,CC(C)CN(C(C)C)C(=O)C=CC1=C([N](N=C1C)C2CC[S](=O)(=O)C2)C,5.4749226570129395,6.982267737388611,0.23822185397148132
2BF619E77BB1A246_15B75485EF5B22F8_6038_UN,N(C1=C(N=CN=C1)N2CCCC2)C(C(C(C3=C(C=C(C)C=C3)C)Br)Br)=O,5.3562798500061035,6.824141263961792,0.23817390203475952
00ADA50E410AE79F_57A7C2E1821EC18E_6041_UN,SC2=NC1=C(C=CC(=C1)NCCCCOCC)C(=O)N2CC3=CC=CC=C3,4.470240116119385,5.6427706480026245,0.23816213011741638
0881E1B98C26D50A_F012FDBF859EF108_6041_DP,OC(=O)C1=CSN=C1N[C@@H]2CC(C(O)=O)C[C@@H]2[N]3C=C(N=N3)C(C)(C)C,5.605474472045898,7.156543254852295,0.23806703090667725
3094B521442738AF_F0D0B8D55E1EBA99_6039_UN,CC(OCC(NC1=NC(=CS1)C2=CC=C(C)C=C2)=O)C3=C[N](N=C3)C4=CC=CC=C4,5.400559425354004,6.883405447006226,0.23800534009933472
9096DF932EAC63ED_661AE5A15FE95FA3_6038_DP,CC(NC(C1(C)CCN(C1)C2=C(C(=C(C(=C2F)F)F)F)F)=O)CC3CCNCC3,5.657976150512695,7.2266552448272705,0.23798471689224243
03C7E0BBBA70ABA8_EB8E8CB5531E7089_6038_UN,N(CCN(CC1CC1)C2CC2)C(CC3=C(N=C(C(CC)C)N=C3C)C)=O,5.555990695953369,7.090744733810425,0.23793214559555054
1852D0DAF69FAA37_D129FA1B6B538B1E_6038_UN,COC1=CC(=C(C=C1)B2OC(C)(C)C(C)(C)O2)NC(C3=C(C)N=C(S3)C4=C(C=C(C=C4)C)F)=O,5.507241249084473,7.026018500328064,0.23772737383842468
CC0DFC090A66425B_3F1B2D5B6F93F7B6_6038_UN,CC(C)C[C@H](NC(C1=C(OC)C=CC(=C1OC)SC)=O)C(=O)OC(C)C,4.623705863952637,5.847980737686157,0.2377203106880188
0DDAC1DF4661A203_87980CF921CA1F0E_6029_UN,N(C1=CC2=C(C=C1)N=C(O)C=C2)[S](C4=N[N]3C(=C(C)OC3=N4)C(C)=O)(=O)=O,5.282595634460449,6.726892948150635,0.23742592334747314
