Rank,Molecule ID,SMILES,Score,Extraction Timestamp
53,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:08:06.007791
54,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:09:41.314777
55,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:11:21.962500
56,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:12:52.990800
57,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:14:31.752503
58,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:15:54.882685
59,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:17:19.455237
60,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:19:01.724095
61,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:20:42.750514
62,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:22:38.493066
63,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:25:42.279221
64,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:27:25.783042
