molecule,smiles
4C7E37EFADB56902_BD34557118DDB7C9_6038_UN,C[N]3C=C(NC(=O)C1=NC=CC(=C1)[N]2C=CN=C2)C(=N3)C4=CC=NC=C4
4D9D90635A7E1E87_74796F2874D667FD_6038_UN,CC1=CC=C(S1)C4=NC2=C(C=C(C=C2)NC(=O)C3=N[NH]C(=C3)[N](=O)=O)S4
52F4086715364080_685C80D0FE78A1E7_6031_UN,CN1C(=O)N(CC(=O)OCC(COC(C)=O)OC(=O)C)C(=O)C1=O
555A1736C6AB3155_8D1A45508C459A7C_6031_DP,N1CC2(CCC1CN2)C(=O)OCC3(CN)COCC4COCCN34
614D273C2A371ECB_ECEF08BB408A78DD_6041_UN,C2(=C1C=NN=C1N=C[NH]2)NC(C4=CC3=C(C=CC=C3)O4)C5=CC=NC=C5
650D8588A14EF841_8BD0302DE7D3DFCB_6038_UN,COCCOCCOCCOCCCOC(C[S](NCC)(=O)=O)=O
65716B2F70C41CD8_31D72AB9A7FD3478_6031_UN,COC(=O)N(C)CCCC(=O)OCCCOCCOCCOCCOC
65716B2F70C41CD8_31D72AB9A7FD3478_6038_UN,COCCOCCOCCOCCCOC(CCCN(C(OC)=O)C)=O
657E782DF671AA3F_3EB52AD37534F585_6039_UN,OC(=O)C1=C(C(=C(C(=C1)F)F)OCC2=C(C=C(C(N)=O)C=C2)[N](=O)=O)F
67BCB320BBAB4E93_0521EBF497DDE141_6039_UN,O(C(C1=CC(=CC=C1)F)C2=NC=CC=C2)CC3OCC4CCOC34
6843FF33E3913229_932B534E04DF23B6_6039_UN,CC(OCC(=O)N1CCC(CC1)C(=O)N2CCCCC2)(CC=C)CC=C
690C65FB24BD78CF_E679DF0BF28BA328_6038_UN,N(C1=CC(=CC=C1)C2=NN=N[NH]2)C(C3=CC=CC(=C3)[N]4N=NN=C4N)=O
6F2CD8D6392C7D0A_237E430134EBF917_6039_UN,O(C1=CC=C(C=C1)C2=C[NH]N=N2)CC3=NN=N[N]3C4=C(C=CC(=C4)C)F
6F2E26187074ED56_B6A08CC7F3D16AF0_2201_UN,C13=NC5=C4C(=C1OC2=C(C=CC=C2)C=C3)CCC4=CC6=C5CCC6
7035C6EA046718EF_F6DFE1AD6CC4FFAB_6038_UN,N(C1=C(C(=C(C=C1)F)I)F)C(C2=C(C)C=C(C(=C2C)[N](=O)=O)C)=O
72E29C7A3F4529DD_B723F8F60D9A4118_6041_DP,CN([C@H]1C[C@@H]2CC[C@H](C1)N2)C3=NC(=CN=C3)NC5CCC4=NC=N[N]4C5
73246FA2A9C08A48_7D4E789164E98FBC_6031_UN,CN(CCC#C)CC(=O)OCCOCCOCCO[Si](C(C)(C)C)(C)C
76387298F04313B8_236CFD6F7F5CCCD4_6039_UN,O(C1=COC2=C1N=CC=C2)CC(NC3=C(F)C=CC(=C3)[N]4C=NN=N4)=O
788E39894C156140_AEE36BAB9A19D651_6038_UN,COCCOCCOCCOCCCNC(COCCOCC)=O
79414406837EF876_826822D2B7D8BCF6_6041_DP,N1CC2CCC1CN2C3=NC(=NC=C3)NC4=C(ON=C4)C5=CC=CC=C5
