molecule,smiles
76A8F64AB54E9DD7_1E8E120733F434B5_6035_UN,O(C1C2CCC1C3CNCC23)C4=NSC(=C4C#N)NC5=CC=C(C)C=C5
79191E0C0A0F437B_4632A88DAAE87538_6035_UN,O([CH]2C[C]1(C[CH2]C1)C2)C3=CC=C(CCCCCCCCCCCC)C=C3
795F78A05FB9DC31_3663F264B923B1FF_6041_UN,CC1=C(C=C(S1)B(O)O)NC4CCC2=C(C=NC(=N2)C3=CC=CC=C3)C4
79A32F1A3F3B16A6_3B03C5DBD4D0B388_6035_UN,O(C1CC(C1)[N]2C=C(C=N2)[N](=O)=O)C3=C(C=C(B(O)O)C=N3)C(F)(F)F
7B7585689751D4C0_62D9D8C0D8673355_1171_DP,COC(=O)C(CC1=NC(=CS1)C2=C(C)ON=C2C3=C(C=CC=C3F)Cl)N
7E4B180A6A16FA6E_6B15CF2290C41A0E_6039_UN,O(C[C@H]1CC[C@@H](CC1)C#C)CC(NCCC2=CC(=C(OC)C=C2)OC)=O
7EADE16B71157792_CE8AAEC1173F46D8_6038_UN,N(CC1=C2C(=NC=C1)CCCC2)C(C3=CC(=C(N(C)C)C=C3)[N](=O)=O)=O
84E9051236BF3C07_81F134E9B647A203_6041_UN,C2(=C1CCCC1=NC(=N2)C3CC3)NC4C5=C(CCC4N(C)C)C=CC=C5
854A7EBE03D36C4B_18D3F92F36F33C81_6041_UN,FC1=CC2=C(C(=C1)F)C(=C(C#N)C=N2)NC3C4=C(CC3)C=CC(=C4F)F
865EF97ED3D89010_7920DB7E9D643D6F_7019_UN,FC(F)(F)COCC[N]1N=NN=C1C=C[C@@H]2CCO[C@H]2C3=NC=C[N]3C
8719343A2B58A1ED_9AD30FCFC4002D45_6041_UN,C1(=NC=C[N]2C(=NN=C12)C3CC3)NC4C5=C(CCC4N(C)C)C=CC=C5
8ED6BBDA541961F4_395938F6A9D453DE_6038_UN,CC3(CCCCCOC(=O)CCC1CCC(O1)C2OCCO2)OCCO3
8FF40816DF04D327_6042ED6DC5623470_6031_DP,N1CCC(C1)(C(=O)OCC3(CCC2=C(C(=C(C)C(=C2O3)C)O[Si](C)(C)C(C)(C)C)C)C)C4=CC=C(C=C4)Br
927331C476A27723_9E4EE99BCDB49B40_6029_UN,CC1=N[N](C(=C1C#N)O)[S](C3=C[N]2C(=C(Cl)N=C2C=C3)[S](=O)(=O)Cl)(=O)=O
9400FADBE339842D_B33103EDDC601A5A_6041_UN,CC2[N]1C(=C(N=C1CCC2)C(=O)O)NC3CCCCC3CN(CC)CC
96C490CAA92374CC_0CE75FBB7E70AF6E_6041_UN,CCOC1=C(C(=CC(=C1)C#N)NCC2CC(CCC2C(C)C)C)OCC
97CE25B0B30BEDFA_ABB26BD55C0DF932_2201_DP,N1CCC4(CC1)C2=C6C5=C(N=C2C3=C(C=CC=C3)O4)N=CN=C5NC=C6
987C72523515A7BB_EBA516C5A2A3CD0A_6026_UN,COC2=N[N]1C=C(Br)C=NC1=C2[S](=O)(=O)N[C@H](C(OC(C)C)=O)C(C)C
9BCBDC6C755E83A5_49EDB41D09704EAE_2875_UN,ClC1=CC(=C(C=C1)Br)[N]2N=NC(=C2)CCN3CC(C(C)(C)C)(C)OCC3
9C48FAF8424AFB1A_50F1371E75CCB8C2_6026_UN,CCC1=NC(=C[N]1CC2CC2)[S](=O)(=O)N(C(CC(OCC)=O)C(F)F)C
A184108FE8932DE1_4C94E459B02EF70B_6038_UN,O([C@@H]1C[C@@H]2N(C1)[S](=O)(=O)NC2=O)C(COC3CC(CCC3C(C)C)C)=O
A27305422E4B28BB_959DAE93595E8755_6029_UN,CC1=C(CCC(=O)O)C(=N[S](=O)(=O)N1[S](C2=C(C)SC(=C2)B(O)O)(=O)=O)C
A65AE9D58C07E96E_C617639A1BC0F41B_6038_UN,COCCOCCOCCOCCCOC(=O)C[N]1C=NC(=N1)[N](=O)=O
A6D090F441C6E42A_1B89F60FDD3A72B8_6026_UN,C[N]1C=C(C(=N1)C2CCOCC2)[S](=O)(=O)N4CCC3CCC([S]3(=O)=O)C4
A9AD40DB313FAD0B_977B96C8D585DBAF_6004_DP,N2CC[N]1C(=NC(=C1C2)C3=CC4=C(C=C3)CC5=C4C=CC=C5)C(F)(F)F
AA5CA0F70281B5A9_3D7E491F621823A4_6031_UN,C[C@]12CCC(=O)N1[C@@H](CS2)C(=O)OCCOCCNCCN(CC)CC
ABA279DE3911718D_E11E696435E2E0C7_6041_UN,FC1=CC2=C(C(=C1)F)C(=C(C#N)C=N2)NC3C4=C(CCC3)C=CC=C4F
AC4D19F71AEC88A3_B9044B26CD4CAECE_6038_UN,O(C1=CC=C(C=C1)CC=C)C(C2N(CCC3=C2C=N[N]3C)[S](=O)(=O)C)=O
ADC2EFE6F7138FAE_64683EC28C94C250_2201_UN,BrC1=CC2=C(C=C1)[NH]C4=C2CCC5=C(C)C3=C(C=CC(=C3)[N](=O)=O)N=C45
AFAAC5F3D147694C_0FA2506856FC8C58_6041_UN,CC2=N[N](C1CC[S](=O)(=O)C1)C(=C2C=CC(=O)O)NC(CC(CC)C)C
AFEB34C3820AB085_B00DB585311C7657_6029_UN,N(C1C(CC1)C2CC2)[S](C3=CC(=C(C(OC)=O)C=C3[S](=O)(=O)Cl)Cl)(=O)=O
B0F9F1BAEF30D93B_43620EA58BB583D2_6041_UN,CC(C)[N]1C=NC(=C1)N[C@H](C(OC(C)C)=O)C(C)C
B13FDF3B769C388F_C29EC69311D4C93B_6038_UN,N(CCC2CCC1(CCOCC1)CO2)C(C3=C(C)N=CC(=C3)[N](=O)=O)=O
B44651F09FFAE9EA_F69DD0EB27764614_6029_UN,CCO[Si](CCCN[S](C1=CC(=C(B(O)O)S1)I)(=O)=O)(OCC)OCC
B4B033919897B140_244A2BAA3290D94A_2238_UN,N3CC1=CC(=O)NC2=C1C(=CC=C2)C35C4=C(C=C(B(O)O)C=C4)NC5=O
B5929DC3D5298189_547C2B8204DB0051_6029_UN,CC1=NC(=CS1)C2=C[N](C=C2C(=O)O)[S](C3=C(C#N)SC(=N3)SC)(=O)=O
B61D25D96AB8C3DC_E591A6E865DB8864_2201_UN,ClC3=C(C=C2C1=NC5=C4C(=C1CCC2=N3)CCC4=CC6=C5CCC6)C#N
B7638F7479663B70_CF1C35ECA6656F00_6031_UN,CC(C)N1N=C(CCC1=O)C(=O)OCC(C)NC2CCCC2[S](=O)(=O)C
B764B0DB7B9E9D3E_ADDDCA34C75F1EF5_6039_UN,CC(C)COC2CC(OCC(=O)NC(=O)NC1CC[S](=O)(=O)C1)C2(C)C
B92E25F4DB35D065_C453FB52B215E603_6039_UN,O([C@@H]1C[C@@H]2N(C1)[S](=O)(=O)NC2=O)CC(OC3CC(CCC3C(C)C)C)=O
BC86D48390369EA7_D36AA052FE60DE47_6038_UN,CC1=N[NH]C(=C1C)CNC(C2=C[N](N=C2C(C)C)C3CC[S](=O)(=O)C3)=O
BF7449E3A88D60BD_012861BC004E41F2_6041_UN,CCOC(=O)C2=C[N]1C=CN=C(C1=C2)NC3=C(C#N)SC(=C3)C(C)(C)C
C2F9F20B24CE4FC5_24082DC9CF5642A7_6035_DP,N4CC[C@@H]5CC[C@@H](OC1=CC=C(C=C1)C2=NC3=C(N=C2)C=CC=C3)[C@H]4C5
C6856386A0FB0105_E5D3681B3D60D54E_2201_UN,C34=NC1=C(C2=C(S1)CCC2)C(=C3CC5=C4C=N[NH]5)C6=CC=C(C=C6)C#N
